country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Netherlands,Agricultural Research,1975,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1976,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1977,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1978,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1979,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1980,237000000.0,237000000.0,1,1980 budget memorandum.pdf,single,NLG,thousand,direct_rd
Netherlands,Agricultural Research,1981,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1982,250000000.0,250000000.0,1,1982 budget memorandum.pdf,single,NLG,thousand,direct_rd
Netherlands,Agricultural Research,1983,4000000.0,4000000.0,1,1983 budget memorandum.pdf,single,NLG,thousand,direct_rd
Netherlands,Agricultural Research,1984,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1985,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1986,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1987,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1988,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1989,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1990,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1991,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1992,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1993,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1994,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1995,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1996,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1997,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1998,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,1999,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2000,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2001,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2002,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2003,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2004,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2005,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2006,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2007,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2008,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2009,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2010,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2011,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2012,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2013,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2014,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2015,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2016,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2017,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2018,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2019,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2020,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2021,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2022,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2023,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2024,,,0,,gap,,,direct_rd
Netherlands,Agricultural Research,2025,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1975,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1976,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1977,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1978,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1979,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1980,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1981,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1982,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1983,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1984,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1985,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1986,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1987,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1988,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1989,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1990,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1991,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1992,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1993,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1994,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1995,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1996,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1997,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1998,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,1999,250000000.0,250000000.0,1,1999 budget memorandum.pdf,single,NLG,thousand,direct_rd
Netherlands,Contribution to Wageningen Research,2000,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2001,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2002,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2003,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2004,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2005,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2006,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2007,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2008,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2009,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2010,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2011,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2012,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2013,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2014,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2015,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2016,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2017,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2018,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2019,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2020,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2021,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2022,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2023,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2024,,,0,,gap,,,direct_rd
Netherlands,Contribution to Wageningen Research,2025,,,0,,gap,,,direct_rd
Netherlands,Deltares (water and subsurface research),1975,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1976,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1977,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1978,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1979,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1980,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1981,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1982,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1983,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1984,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1985,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1986,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1987,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1988,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1989,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1990,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1991,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1992,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1993,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1994,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1995,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1996,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1997,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1998,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),1999,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2000,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2001,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2002,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2003,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2004,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2005,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2006,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2007,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2008,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2009,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2010,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2011,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2012,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2013,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2014,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2015,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2016,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2017,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2018,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2019,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2020,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2021,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2022,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2023,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2024,,,0,,gap,,,science_agency
Netherlands,Deltares (water and subsurface research),2025,,,0,,gap,,,science_agency
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2002,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2003,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2004,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2005,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2006,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2007,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2008,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2009,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2010,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2011,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2012,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2013,795764000.0,795764000.0,1,2013_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2014,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2015,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2016,,,0,,gap,,,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2017,2358000.0,2358000.0,1,2017_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2018,109547000.0,109547000.0,1,2018_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2019,890000000.0,890000000.0,1,2019_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2020,1075493000.0,1075493000.0,1,2020_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2021,2950996000.0,2950996000.0,1,2021_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2022,2209546000.0,2209546000.0,1,2022_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2023,2708363000.0,2708363000.0,1,2023_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2024,2268712000.0,2268712000.0,1,2024_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO),2025,2758165000.0,2758165000.0,1,2025_ministry13.pdf,single,EUR,euro,innovation_instruments
Netherlands,Energy Center Netherlands Funding,1975,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1976,16000000.0,16000000.0,1,1976 budget memorandum.pdf,single,NLG,thousand,science_agency
Netherlands,Energy Center Netherlands Funding,1977,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1978,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1979,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1980,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1981,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1982,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1983,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1984,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1985,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1986,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1987,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1988,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1989,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1990,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1991,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1992,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1993,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1994,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1995,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1996,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1997,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1998,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,1999,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2000,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2001,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2002,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2003,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2004,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2005,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2006,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2007,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2008,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2009,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2010,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2011,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2012,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2013,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2014,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2015,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2016,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2017,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2018,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2019,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2020,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2021,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2022,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2023,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2024,,,0,,gap,,,science_agency
Netherlands,Energy Center Netherlands Funding,2025,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1975,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1976,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1977,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1978,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1979,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1980,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1981,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1982,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1983,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1984,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1985,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1986,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1987,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1988,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1989,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1990,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1991,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1992,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1993,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1994,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1995,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1996,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1997,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1998,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,1999,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2000,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2001,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2002,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2003,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2004,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2005,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2006,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2007,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2008,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2009,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2010,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2011,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2012,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2013,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2014,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2015,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2016,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2017,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2018,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2019,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2020,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2021,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2022,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2023,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2024,,,0,,gap,,,science_agency
Netherlands,Energy Research Center Netherlands,2025,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1975,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1976,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1977,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1978,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1979,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1980,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1981,68000000.0,68000000.0,1,1981 budget memorandum.pdf,single,NLG,thousand,science_agency
Netherlands,Energy Research Centre of the Netherlands,1982,73000000.0,73000000.0,1,1982 budget memorandum.pdf,single,NLG,thousand,science_agency
Netherlands,Energy Research Centre of the Netherlands,1983,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1984,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1985,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1986,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1987,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1988,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1989,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1990,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1991,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1992,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1993,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1994,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1995,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1996,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1997,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1998,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,1999,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2000,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2001,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2002,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2003,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2004,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2005,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2006,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2007,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2008,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2009,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2010,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2011,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2012,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2013,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2014,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2015,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2016,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2017,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2018,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2019,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2020,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2021,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2022,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2023,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2024,,,0,,gap,,,science_agency
Netherlands,Energy Research Centre of the Netherlands,2025,,,0,,gap,,,science_agency
Netherlands,Energy Supply Research,1975,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1976,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1977,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1978,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1979,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1980,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1981,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1982,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1983,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1984,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1985,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1986,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1987,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1988,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1989,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1990,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1991,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1992,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1993,,,0,,gap,,,direct_rd
Netherlands,Energy Supply Research,1994,,,0,,gap,,,direct_rd
